"loc","year","month","deaths","deaths_lower","deaths_upper"
"National",2014,1,"4026","NA","NA"
"National",2014,2,"3895","NA","NA"
"National",2014,3,"4106","NA","NA"
"National",2014,4,"3733","NA","NA"
"National",2014,5,"3927","NA","NA"
"National",2014,6,"3783","NA","NA"
"National",2014,7,"3902","NA","NA"
"National",2014,8,"3987","NA","NA"
"National",2014,9,"3748","NA","NA"
"National",2014,10,"4021","NA","NA"
"National",2014,11,"3927","NA","NA"
"National",2014,12,"4002","NA","NA"
"National",2015,1,"4355","NA","NA"
"National",2015,2,"4087","NA","NA"
"National",2015,3,"4583","NA","NA"
"National",2015,4,"4281","NA","NA"
"National",2015,5,"4463","NA","NA"
"National",2015,6,"4176","NA","NA"
"National",2015,7,"4497","NA","NA"
"National",2015,8,"4492","NA","NA"
"National",2015,9,"4481","NA","NA"
"National",2015,10,"4546","NA","NA"
"National",2015,11,"4199","NA","NA"
"National",2015,12,"4246","NA","NA"
"National",2016,1,"4632","NA","NA"
"National",2016,2,"5022","NA","NA"
"National",2016,3,"5511","NA","NA"
"National",2016,4,"5259","NA","NA"
"National",2016,5,"5159","NA","NA"
"National",2016,6,"5128","NA","NA"
"National",2016,7,"5592","NA","NA"
"National",2016,8,"5397","NA","NA"
"National",2016,9,"5195","NA","NA"
"National",2016,10,"5446","NA","NA"
"National",2016,11,"5464","NA","NA"
"National",2016,12,"5829","NA","NA"
"National",2017,1,"6233","NA","NA"
"National",2017,2,"5619","NA","NA"
"National",2017,3,"6164","NA","NA"
"National",2017,4,"5886","NA","NA"
"National",2017,5,"6037","NA","NA"
"National",2017,6,"5884","NA","NA"
"National",2017,7,"5938","NA","NA"
"National",2017,8,"5863","NA","NA"
"National",2017,9,"5786","NA","NA"
"National",2017,10,"5539","NA","NA"
"National",2017,11,"5491","NA","NA"
"National",2017,12,"5799","NA","NA"
"National",2018,1,"5659","NA","NA"
"National",2018,2,"5244","NA","NA"
"National",2018,3,"5793","NA","NA"
"National",2018,4,"5556","NA","NA"
"National",2018,5,"5773","NA","NA"
"National",2018,6,"5817","NA","NA"
"National",2018,7,"5940","NA","NA"
"National",2018,8,"5836","NA","NA"
"National",2018,9,"5500","NA","NA"
"National",2018,10,"5522","NA","NA"
"National",2018,11,"5177","NA","NA"
"National",2018,12,"5551","NA","NA"
"National",2019,1,"5519","NA","NA"
"National",2019,2,"5180","NA","NA"
"National",2019,3,"5888","NA","NA"
"National",2019,4,"5562","NA","NA"
"National",2019,5,"5829","NA","NA"
"National",2019,6,"5808","NA","NA"
"National",2019,7,"6162","NA","NA"
"National",2019,8,"6194","NA","NA"
"National",2019,9,"5882","NA","NA"
"National",2019,10,"6134","NA","NA"
"National",2019,11,"6176","NA","NA"
"National",2019,12,"6299","NA","NA"
"National",2020,1,"6356","6248","6464"
"National",2020,2,"6522","6395","6649"
"National",2020,3,"7356","7197","7515"
"National",2020,4,"7703","7537","7869"
"National",2020,5,"9192","8993","9391"
"National",2020,6,"7888","7715","8061"
"National",2020,7,"8850","8652","9048"
"National",2020,8,"8606","8414","8798"
"National",2020,9,"7718","7542","7894"
"East North Central",2014,1,"648","NA","NA"
"East North Central",2014,2,"673","NA","NA"
"East North Central",2014,3,"723","NA","NA"
"East North Central",2014,4,"592","NA","NA"
"East North Central",2014,5,"612","NA","NA"
"East North Central",2014,6,"685","NA","NA"
"East North Central",2014,7,"711","NA","NA"
"East North Central",2014,8,"701","NA","NA"
"East North Central",2014,9,"700","NA","NA"
"East North Central",2014,10,"767","NA","NA"
"East North Central",2014,11,"709","NA","NA"
"East North Central",2014,12,"716","NA","NA"
"East North Central",2015,1,"747","NA","NA"
"East North Central",2015,2,"707","NA","NA"
"East North Central",2015,3,"835","NA","NA"
"East North Central",2015,4,"831","NA","NA"
"East North Central",2015,5,"783","NA","NA"
"East North Central",2015,6,"707","NA","NA"
"East North Central",2015,7,"734","NA","NA"
"East North Central",2015,8,"757","NA","NA"
"East North Central",2015,9,"800","NA","NA"
"East North Central",2015,10,"810","NA","NA"
"East North Central",2015,11,"783","NA","NA"
"East North Central",2015,12,"755","NA","NA"
"East North Central",2016,1,"821","NA","NA"
"East North Central",2016,2,"905","NA","NA"
"East North Central",2016,3,"1015","NA","NA"
"East North Central",2016,4,"924","NA","NA"
"East North Central",2016,5,"915","NA","NA"
"East North Central",2016,6,"876","NA","NA"
"East North Central",2016,7,"1003","NA","NA"
"East North Central",2016,8,"986","NA","NA"
"East North Central",2016,9,"1043","NA","NA"
"East North Central",2016,10,"1032","NA","NA"
"East North Central",2016,11,"1025","NA","NA"
"East North Central",2016,12,"1143","NA","NA"
"East North Central",2017,1,"1274","NA","NA"
"East North Central",2017,2,"1220","NA","NA"
"East North Central",2017,3,"1154","NA","NA"
"East North Central",2017,4,"1143","NA","NA"
"East North Central",2017,5,"1120","NA","NA"
"East North Central",2017,6,"1102","NA","NA"
"East North Central",2017,7,"1122","NA","NA"
"East North Central",2017,8,"1082","NA","NA"
"East North Central",2017,9,"1183","NA","NA"
"East North Central",2017,10,"1102","NA","NA"
"East North Central",2017,11,"1098","NA","NA"
"East North Central",2017,12,"1012","NA","NA"
"East North Central",2018,1,"1005","NA","NA"
"East North Central",2018,2,"965","NA","NA"
"East North Central",2018,3,"1077","NA","NA"
"East North Central",2018,4,"950","NA","NA"
"East North Central",2018,5,"990","NA","NA"
"East North Central",2018,6,"982","NA","NA"
"East North Central",2018,7,"1076","NA","NA"
"East North Central",2018,8,"1026","NA","NA"
"East North Central",2018,9,"991","NA","NA"
"East North Central",2018,10,"1011","NA","NA"
"East North Central",2018,11,"906","NA","NA"
"East North Central",2018,12,"1023","NA","NA"
"East North Central",2019,1,"910","NA","NA"
"East North Central",2019,2,"855","NA","NA"
"East North Central",2019,3,"1072","NA","NA"
"East North Central",2019,4,"972","NA","NA"
"East North Central",2019,5,"1098","NA","NA"
"East North Central",2019,6,"978","NA","NA"
"East North Central",2019,7,"1070","NA","NA"
"East North Central",2019,8,"1020","NA","NA"
"East North Central",2019,9,"1052","NA","NA"
"East North Central",2019,10,"1079","NA","NA"
"East North Central",2019,11,"1129","NA","NA"
"East North Central",2019,12,"1092","NA","NA"
"East North Central",2020,1,"1063","1038","1088"
"East North Central",2020,2,"1161","1133","1189"
"East North Central",2020,3,"1182","1152","1212"
"East North Central",2020,4,"1313","1279","1347"
"East North Central",2020,5,"1706","1662","1750"
"East North Central",2020,6,"1433","1396","1470"
"East North Central",2020,7,"1415","1378","1452"
"East North Central",2020,8,"1254","1223","1285"
"East North Central",2020,9,"1283","1251","1315"
"East South Central",2014,1,"307","NA","NA"
"East South Central",2014,2,"296","NA","NA"
"East South Central",2014,3,"290","NA","NA"
"East South Central",2014,4,"279","NA","NA"
"East South Central",2014,5,"258","NA","NA"
"East South Central",2014,6,"269","NA","NA"
"East South Central",2014,7,"269","NA","NA"
"East South Central",2014,8,"321","NA","NA"
"East South Central",2014,9,"241","NA","NA"
"East South Central",2014,10,"296","NA","NA"
"East South Central",2014,11,"288","NA","NA"
"East South Central",2014,12,"291","NA","NA"
"East South Central",2015,1,"312","NA","NA"
"East South Central",2015,2,"309","NA","NA"
"East South Central",2015,3,"379","NA","NA"
"East South Central",2015,4,"314","NA","NA"
"East South Central",2015,5,"328","NA","NA"
"East South Central",2015,6,"307","NA","NA"
"East South Central",2015,7,"326","NA","NA"
"East South Central",2015,8,"322","NA","NA"
"East South Central",2015,9,"289","NA","NA"
"East South Central",2015,10,"297","NA","NA"
"East South Central",2015,11,"299","NA","NA"
"East South Central",2015,12,"335","NA","NA"
"East South Central",2016,1,"354","NA","NA"
"East South Central",2016,2,"303","NA","NA"
"East South Central",2016,3,"352","NA","NA"
"East South Central",2016,4,"339","NA","NA"
"East South Central",2016,5,"351","NA","NA"
"East South Central",2016,6,"357","NA","NA"
"East South Central",2016,7,"348","NA","NA"
"East South Central",2016,8,"370","NA","NA"
"East South Central",2016,9,"323","NA","NA"
"East South Central",2016,10,"323","NA","NA"
"East South Central",2016,11,"330","NA","NA"
"East South Central",2016,12,"407","NA","NA"
"East South Central",2017,1,"415","NA","NA"
"East South Central",2017,2,"375","NA","NA"
"East South Central",2017,3,"445","NA","NA"
"East South Central",2017,4,"404","NA","NA"
"East South Central",2017,5,"370","NA","NA"
"East South Central",2017,6,"353","NA","NA"
"East South Central",2017,7,"358","NA","NA"
"East South Central",2017,8,"353","NA","NA"
"East South Central",2017,9,"358","NA","NA"
"East South Central",2017,10,"324","NA","NA"
"East South Central",2017,11,"361","NA","NA"
"East South Central",2017,12,"416","NA","NA"
"East South Central",2018,1,"325","NA","NA"
"East South Central",2018,2,"389","NA","NA"
"East South Central",2018,3,"359","NA","NA"
"East South Central",2018,4,"362","NA","NA"
"East South Central",2018,5,"353","NA","NA"
"East South Central",2018,6,"328","NA","NA"
"East South Central",2018,7,"371","NA","NA"
"East South Central",2018,8,"370","NA","NA"
"East South Central",2018,9,"349","NA","NA"
"East South Central",2018,10,"326","NA","NA"
"East South Central",2018,11,"336","NA","NA"
"East South Central",2018,12,"355","NA","NA"
"East South Central",2019,1,"353","NA","NA"
"East South Central",2019,2,"321","NA","NA"
"East South Central",2019,3,"409","NA","NA"
"East South Central",2019,4,"384","NA","NA"
"East South Central",2019,5,"391","NA","NA"
"East South Central",2019,6,"399","NA","NA"
"East South Central",2019,7,"396","NA","NA"
"East South Central",2019,8,"360","NA","NA"
"East South Central",2019,9,"363","NA","NA"
"East South Central",2019,10,"422","NA","NA"
"East South Central",2019,11,"410","NA","NA"
"East South Central",2019,12,"424","NA","NA"
"East South Central",2020,1,"395","373","417"
"East South Central",2020,2,"448","424","472"
"East South Central",2020,3,"541","512","570"
"East South Central",2020,4,"555","525","585"
"East South Central",2020,5,"779","737","821"
"East South Central",2020,6,"601","568","634"
"East South Central",2020,7,"615","581","649"
"East South Central",2020,8,"621","590","652"
"East South Central",2020,9,"539","512","566"
"Middle Atlantic",2014,1,"589","NA","NA"
"Middle Atlantic",2014,2,"478","NA","NA"
"Middle Atlantic",2014,3,"579","NA","NA"
"Middle Atlantic",2014,4,"520","NA","NA"
"Middle Atlantic",2014,5,"580","NA","NA"
"Middle Atlantic",2014,6,"471","NA","NA"
"Middle Atlantic",2014,7,"499","NA","NA"
"Middle Atlantic",2014,8,"495","NA","NA"
"Middle Atlantic",2014,9,"474","NA","NA"
"Middle Atlantic",2014,10,"554","NA","NA"
"Middle Atlantic",2014,11,"504","NA","NA"
"Middle Atlantic",2014,12,"542","NA","NA"
"Middle Atlantic",2015,1,"575","NA","NA"
"Middle Atlantic",2015,2,"534","NA","NA"
"Middle Atlantic",2015,3,"615","NA","NA"
"Middle Atlantic",2015,4,"645","NA","NA"
"Middle Atlantic",2015,5,"663","NA","NA"
"Middle Atlantic",2015,6,"636","NA","NA"
"Middle Atlantic",2015,7,"631","NA","NA"
"Middle Atlantic",2015,8,"669","NA","NA"
"Middle Atlantic",2015,9,"633","NA","NA"
"Middle Atlantic",2015,10,"663","NA","NA"
"Middle Atlantic",2015,11,"602","NA","NA"
"Middle Atlantic",2015,12,"606","NA","NA"
"Middle Atlantic",2016,1,"674","NA","NA"
"Middle Atlantic",2016,2,"820","NA","NA"
"Middle Atlantic",2016,3,"881","NA","NA"
"Middle Atlantic",2016,4,"894","NA","NA"
"Middle Atlantic",2016,5,"749","NA","NA"
"Middle Atlantic",2016,6,"754","NA","NA"
"Middle Atlantic",2016,7,"912","NA","NA"
"Middle Atlantic",2016,8,"822","NA","NA"
"Middle Atlantic",2016,9,"844","NA","NA"
"Middle Atlantic",2016,10,"952","NA","NA"
"Middle Atlantic",2016,11,"955","NA","NA"
"Middle Atlantic",2016,12,"1064","NA","NA"
"Middle Atlantic",2017,1,"1108","NA","NA"
"Middle Atlantic",2017,2,"954","NA","NA"
"Middle Atlantic",2017,3,"1132","NA","NA"
"Middle Atlantic",2017,4,"1025","NA","NA"
"Middle Atlantic",2017,5,"1095","NA","NA"
"Middle Atlantic",2017,6,"1014","NA","NA"
"Middle Atlantic",2017,7,"1002","NA","NA"
"Middle Atlantic",2017,8,"1034","NA","NA"
"Middle Atlantic",2017,9,"990","NA","NA"
"Middle Atlantic",2017,10,"827","NA","NA"
"Middle Atlantic",2017,11,"862","NA","NA"
"Middle Atlantic",2017,12,"951","NA","NA"
"Middle Atlantic",2018,1,"964","NA","NA"
"Middle Atlantic",2018,2,"765","NA","NA"
"Middle Atlantic",2018,3,"915","NA","NA"
"Middle Atlantic",2018,4,"941","NA","NA"
"Middle Atlantic",2018,5,"974","NA","NA"
"Middle Atlantic",2018,6,"984","NA","NA"
"Middle Atlantic",2018,7,"962","NA","NA"
"Middle Atlantic",2018,8,"979","NA","NA"
"Middle Atlantic",2018,9,"885","NA","NA"
"Middle Atlantic",2018,10,"961","NA","NA"
"Middle Atlantic",2018,11,"809","NA","NA"
"Middle Atlantic",2018,12,"873","NA","NA"
"Middle Atlantic",2019,1,"800","NA","NA"
"Middle Atlantic",2019,2,"820","NA","NA"
"Middle Atlantic",2019,3,"879","NA","NA"
"Middle Atlantic",2019,4,"827","NA","NA"
"Middle Atlantic",2019,5,"887","NA","NA"
"Middle Atlantic",2019,6,"874","NA","NA"
"Middle Atlantic",2019,7,"976","NA","NA"
"Middle Atlantic",2019,8,"1005","NA","NA"
"Middle Atlantic",2019,9,"842","NA","NA"
"Middle Atlantic",2019,10,"942","NA","NA"
"Middle Atlantic",2019,11,"947","NA","NA"
"Middle Atlantic",2019,12,"1000","NA","NA"
"Middle Atlantic",2020,1,"987","947","1027"
"Middle Atlantic",2020,2,"1000","957","1043"
"Middle Atlantic",2020,3,"1086","1038","1134"
"Middle Atlantic",2020,4,"1073","1027","1119"
"Middle Atlantic",2020,5,"1209","1157","1261"
"Middle Atlantic",2020,6,"1129","1080","1178"
"Middle Atlantic",2020,7,"1200","1147","1253"
"Middle Atlantic",2020,8,"1216","1162","1270"
"Middle Atlantic",2020,9,"1061","1014","1108"
"Mountain",2014,1,"359","NA","NA"
"Mountain",2014,2,"342","NA","NA"
"Mountain",2014,3,"351","NA","NA"
"Mountain",2014,4,"348","NA","NA"
"Mountain",2014,5,"382","NA","NA"
"Mountain",2014,6,"335","NA","NA"
"Mountain",2014,7,"373","NA","NA"
"Mountain",2014,8,"355","NA","NA"
"Mountain",2014,9,"367","NA","NA"
"Mountain",2014,10,"324","NA","NA"
"Mountain",2014,11,"378","NA","NA"
"Mountain",2014,12,"337","NA","NA"
"Mountain",2015,1,"356","NA","NA"
"Mountain",2015,2,"326","NA","NA"
"Mountain",2015,3,"374","NA","NA"
"Mountain",2015,4,"370","NA","NA"
"Mountain",2015,5,"359","NA","NA"
"Mountain",2015,6,"360","NA","NA"
"Mountain",2015,7,"354","NA","NA"
"Mountain",2015,8,"404","NA","NA"
"Mountain",2015,9,"365","NA","NA"
"Mountain",2015,10,"368","NA","NA"
"Mountain",2015,11,"365","NA","NA"
"Mountain",2015,12,"360","NA","NA"
"Mountain",2016,1,"376","NA","NA"
"Mountain",2016,2,"371","NA","NA"
"Mountain",2016,3,"425","NA","NA"
"Mountain",2016,4,"369","NA","NA"
"Mountain",2016,5,"388","NA","NA"
"Mountain",2016,6,"418","NA","NA"
"Mountain",2016,7,"442","NA","NA"
"Mountain",2016,8,"419","NA","NA"
"Mountain",2016,9,"321","NA","NA"
"Mountain",2016,10,"380","NA","NA"
"Mountain",2016,11,"352","NA","NA"
"Mountain",2016,12,"324","NA","NA"
"Mountain",2017,1,"415","NA","NA"
"Mountain",2017,2,"347","NA","NA"
"Mountain",2017,3,"409","NA","NA"
"Mountain",2017,4,"387","NA","NA"
"Mountain",2017,5,"421","NA","NA"
"Mountain",2017,6,"426","NA","NA"
"Mountain",2017,7,"464","NA","NA"
"Mountain",2017,8,"421","NA","NA"
"Mountain",2017,9,"351","NA","NA"
"Mountain",2017,10,"407","NA","NA"
"Mountain",2017,11,"378","NA","NA"
"Mountain",2017,12,"365","NA","NA"
"Mountain",2018,1,"422","NA","NA"
"Mountain",2018,2,"364","NA","NA"
"Mountain",2018,3,"423","NA","NA"
"Mountain",2018,4,"392","NA","NA"
"Mountain",2018,5,"420","NA","NA"
"Mountain",2018,6,"447","NA","NA"
"Mountain",2018,7,"512","NA","NA"
"Mountain",2018,8,"464","NA","NA"
"Mountain",2018,9,"345","NA","NA"
"Mountain",2018,10,"365","NA","NA"
"Mountain",2018,11,"363","NA","NA"
"Mountain",2018,12,"438","NA","NA"
"Mountain",2019,1,"411","NA","NA"
"Mountain",2019,2,"391","NA","NA"
"Mountain",2019,3,"419","NA","NA"
"Mountain",2019,4,"406","NA","NA"
"Mountain",2019,5,"415","NA","NA"
"Mountain",2019,6,"432","NA","NA"
"Mountain",2019,7,"532","NA","NA"
"Mountain",2019,8,"452","NA","NA"
"Mountain",2019,9,"459","NA","NA"
"Mountain",2019,10,"447","NA","NA"
"Mountain",2019,11,"436","NA","NA"
"Mountain",2019,12,"490","NA","NA"
"Mountain",2020,1,"485","458","512"
"Mountain",2020,2,"438","411","465"
"Mountain",2020,3,"511","479","543"
"Mountain",2020,4,"549","514","584"
"Mountain",2020,5,"637","595","679"
"Mountain",2020,6,"624","584","664"
"Mountain",2020,7,"764","715","813"
"Mountain",2020,8,"766","718","814"
"Mountain",2020,9,"547","513","581"
"New England",2014,1,"247","NA","NA"
"New England",2014,2,"274","NA","NA"
"New England",2014,3,"242","NA","NA"
"New England",2014,4,"193","NA","NA"
"New England",2014,5,"233","NA","NA"
"New England",2014,6,"223","NA","NA"
"New England",2014,7,"177","NA","NA"
"New England",2014,8,"239","NA","NA"
"New England",2014,9,"219","NA","NA"
"New England",2014,10,"265","NA","NA"
"New England",2014,11,"219","NA","NA"
"New England",2014,12,"261","NA","NA"
"New England",2015,1,"288","NA","NA"
"New England",2015,2,"285","NA","NA"
"New England",2015,3,"325","NA","NA"
"New England",2015,4,"295","NA","NA"
"New England",2015,5,"278","NA","NA"
"New England",2015,6,"271","NA","NA"
"New England",2015,7,"309","NA","NA"
"New England",2015,8,"282","NA","NA"
"New England",2015,9,"352","NA","NA"
"New England",2015,10,"366","NA","NA"
"New England",2015,11,"322","NA","NA"
"New England",2015,12,"251","NA","NA"
"New England",2016,1,"332","NA","NA"
"New England",2016,2,"378","NA","NA"
"New England",2016,3,"377","NA","NA"
"New England",2016,4,"402","NA","NA"
"New England",2016,5,"371","NA","NA"
"New England",2016,6,"382","NA","NA"
"New England",2016,7,"397","NA","NA"
"New England",2016,8,"347","NA","NA"
"New England",2016,9,"379","NA","NA"
"New England",2016,10,"369","NA","NA"
"New England",2016,11,"384","NA","NA"
"New England",2016,12,"365","NA","NA"
"New England",2017,1,"376","NA","NA"
"New England",2017,2,"343","NA","NA"
"New England",2017,3,"399","NA","NA"
"New England",2017,4,"384","NA","NA"
"New England",2017,5,"352","NA","NA"
"New England",2017,6,"350","NA","NA"
"New England",2017,7,"401","NA","NA"
"New England",2017,8,"390","NA","NA"
"New England",2017,9,"409","NA","NA"
"New England",2017,10,"390","NA","NA"
"New England",2017,11,"362","NA","NA"
"New England",2017,12,"429","NA","NA"
"New England",2018,1,"363","NA","NA"
"New England",2018,2,"356","NA","NA"
"New England",2018,3,"413","NA","NA"
"New England",2018,4,"368","NA","NA"
"New England",2018,5,"418","NA","NA"
"New England",2018,6,"412","NA","NA"
"New England",2018,7,"433","NA","NA"
"New England",2018,8,"362","NA","NA"
"New England",2018,9,"357","NA","NA"
"New England",2018,10,"360","NA","NA"
"New England",2018,11,"365","NA","NA"
"New England",2018,12,"370","NA","NA"
"New England",2019,1,"357","NA","NA"
"New England",2019,2,"349","NA","NA"
"New England",2019,3,"400","NA","NA"
"New England",2019,4,"355","NA","NA"
"New England",2019,5,"391","NA","NA"
"New England",2019,6,"403","NA","NA"
"New England",2019,7,"409","NA","NA"
"New England",2019,8,"426","NA","NA"
"New England",2019,9,"358","NA","NA"
"New England",2019,10,"402","NA","NA"
"New England",2019,11,"376","NA","NA"
"New England",2019,12,"416","NA","NA"
"New England",2020,1,"378","356","400"
"New England",2020,2,"410","386","434"
"New England",2020,3,"452","426","478"
"New England",2020,4,"456","429","483"
"New England",2020,5,"489","460","518"
"New England",2020,6,"415","391","439"
"New England",2020,7,"504","475","533"
"New England",2020,8,"389","367","411"
"New England",2020,9,"433","408","458"
"Pacific",2014,1,"537","NA","NA"
"Pacific",2014,2,"512","NA","NA"
"Pacific",2014,3,"556","NA","NA"
"Pacific",2014,4,"516","NA","NA"
"Pacific",2014,5,"580","NA","NA"
"Pacific",2014,6,"531","NA","NA"
"Pacific",2014,7,"562","NA","NA"
"Pacific",2014,8,"528","NA","NA"
"Pacific",2014,9,"467","NA","NA"
"Pacific",2014,10,"505","NA","NA"
"Pacific",2014,11,"525","NA","NA"
"Pacific",2014,12,"485","NA","NA"
"Pacific",2015,1,"568","NA","NA"
"Pacific",2015,2,"523","NA","NA"
"Pacific",2015,3,"552","NA","NA"
"Pacific",2015,4,"534","NA","NA"
"Pacific",2015,5,"549","NA","NA"
"Pacific",2015,6,"539","NA","NA"
"Pacific",2015,7,"596","NA","NA"
"Pacific",2015,8,"570","NA","NA"
"Pacific",2015,9,"577","NA","NA"
"Pacific",2015,10,"542","NA","NA"
"Pacific",2015,11,"500","NA","NA"
"Pacific",2015,12,"499","NA","NA"
"Pacific",2016,1,"574","NA","NA"
"Pacific",2016,2,"539","NA","NA"
"Pacific",2016,3,"581","NA","NA"
"Pacific",2016,4,"606","NA","NA"
"Pacific",2016,5,"589","NA","NA"
"Pacific",2016,6,"567","NA","NA"
"Pacific",2016,7,"580","NA","NA"
"Pacific",2016,8,"550","NA","NA"
"Pacific",2016,9,"464","NA","NA"
"Pacific",2016,10,"465","NA","NA"
"Pacific",2016,11,"516","NA","NA"
"Pacific",2016,12,"551","NA","NA"
"Pacific",2017,1,"576","NA","NA"
"Pacific",2017,2,"490","NA","NA"
"Pacific",2017,3,"571","NA","NA"
"Pacific",2017,4,"565","NA","NA"
"Pacific",2017,5,"639","NA","NA"
"Pacific",2017,6,"575","NA","NA"
"Pacific",2017,7,"647","NA","NA"
"Pacific",2017,8,"609","NA","NA"
"Pacific",2017,9,"587","NA","NA"
"Pacific",2017,10,"592","NA","NA"
"Pacific",2017,11,"521","NA","NA"
"Pacific",2017,12,"545","NA","NA"
"Pacific",2018,1,"656","NA","NA"
"Pacific",2018,2,"570","NA","NA"
"Pacific",2018,3,"614","NA","NA"
"Pacific",2018,4,"602","NA","NA"
"Pacific",2018,5,"576","NA","NA"
"Pacific",2018,6,"640","NA","NA"
"Pacific",2018,7,"635","NA","NA"
"Pacific",2018,8,"655","NA","NA"
"Pacific",2018,9,"646","NA","NA"
"Pacific",2018,10,"609","NA","NA"
"Pacific",2018,11,"548","NA","NA"
"Pacific",2018,12,"631","NA","NA"
"Pacific",2019,1,"685","NA","NA"
"Pacific",2019,2,"644","NA","NA"
"Pacific",2019,3,"703","NA","NA"
"Pacific",2019,4,"660","NA","NA"
"Pacific",2019,5,"677","NA","NA"
"Pacific",2019,6,"747","NA","NA"
"Pacific",2019,7,"718","NA","NA"
"Pacific",2019,8,"778","NA","NA"
"Pacific",2019,9,"712","NA","NA"
"Pacific",2019,10,"679","NA","NA"
"Pacific",2019,11,"715","NA","NA"
"Pacific",2019,12,"729","NA","NA"
"Pacific",2020,1,"774","749","799"
"Pacific",2020,2,"808","781","835"
"Pacific",2020,3,"943","910","976"
"Pacific",2020,4,"956","922","990"
"Pacific",2020,5,"1097","1058","1136"
"Pacific",2020,6,"1011","975","1047"
"Pacific",2020,7,"1144","1103","1185"
"Pacific",2020,8,"1340","1292","1388"
"Pacific",2020,9,"1061","1023","1099"
"South Atlantic",2014,1,"736","NA","NA"
"South Atlantic",2014,2,"703","NA","NA"
"South Atlantic",2014,3,"745","NA","NA"
"South Atlantic",2014,4,"690","NA","NA"
"South Atlantic",2014,5,"706","NA","NA"
"South Atlantic",2014,6,"706","NA","NA"
"South Atlantic",2014,7,"773","NA","NA"
"South Atlantic",2014,8,"767","NA","NA"
"South Atlantic",2014,9,"730","NA","NA"
"South Atlantic",2014,10,"745","NA","NA"
"South Atlantic",2014,11,"763","NA","NA"
"South Atlantic",2014,12,"797","NA","NA"
"South Atlantic",2015,1,"892","NA","NA"
"South Atlantic",2015,2,"867","NA","NA"
"South Atlantic",2015,3,"830","NA","NA"
"South Atlantic",2015,4,"723","NA","NA"
"South Atlantic",2015,5,"858","NA","NA"
"South Atlantic",2015,6,"773","NA","NA"
"South Atlantic",2015,7,"924","NA","NA"
"South Atlantic",2015,8,"889","NA","NA"
"South Atlantic",2015,9,"857","NA","NA"
"South Atlantic",2015,10,"927","NA","NA"
"South Atlantic",2015,11,"803","NA","NA"
"South Atlantic",2015,12,"887","NA","NA"
"South Atlantic",2016,1,"861","NA","NA"
"South Atlantic",2016,2,"1031","NA","NA"
"South Atlantic",2016,3,"1228","NA","NA"
"South Atlantic",2016,4,"1056","NA","NA"
"South Atlantic",2016,5,"1120","NA","NA"
"South Atlantic",2016,6,"1118","NA","NA"
"South Atlantic",2016,7,"1207","NA","NA"
"South Atlantic",2016,8,"1196","NA","NA"
"South Atlantic",2016,9,"1174","NA","NA"
"South Atlantic",2016,10,"1297","NA","NA"
"South Atlantic",2016,11,"1262","NA","NA"
"South Atlantic",2016,12,"1291","NA","NA"
"South Atlantic",2017,1,"1358","NA","NA"
"South Atlantic",2017,2,"1215","NA","NA"
"South Atlantic",2017,3,"1351","NA","NA"
"South Atlantic",2017,4,"1322","NA","NA"
"South Atlantic",2017,5,"1331","NA","NA"
"South Atlantic",2017,6,"1368","NA","NA"
"South Atlantic",2017,7,"1209","NA","NA"
"South Atlantic",2017,8,"1298","NA","NA"
"South Atlantic",2017,9,"1195","NA","NA"
"South Atlantic",2017,10,"1240","NA","NA"
"South Atlantic",2017,11,"1192","NA","NA"
"South Atlantic",2017,12,"1344","NA","NA"
"South Atlantic",2018,1,"1220","NA","NA"
"South Atlantic",2018,2,"1162","NA","NA"
"South Atlantic",2018,3,"1274","NA","NA"
"South Atlantic",2018,4,"1272","NA","NA"
"South Atlantic",2018,5,"1307","NA","NA"
"South Atlantic",2018,6,"1258","NA","NA"
"South Atlantic",2018,7,"1214","NA","NA"
"South Atlantic",2018,8,"1239","NA","NA"
"South Atlantic",2018,9,"1235","NA","NA"
"South Atlantic",2018,10,"1205","NA","NA"
"South Atlantic",2018,11,"1184","NA","NA"
"South Atlantic",2018,12,"1199","NA","NA"
"South Atlantic",2019,1,"1268","NA","NA"
"South Atlantic",2019,2,"1159","NA","NA"
"South Atlantic",2019,3,"1295","NA","NA"
"South Atlantic",2019,4,"1287","NA","NA"
"South Atlantic",2019,5,"1245","NA","NA"
"South Atlantic",2019,6,"1291","NA","NA"
"South Atlantic",2019,7,"1287","NA","NA"
"South Atlantic",2019,8,"1341","NA","NA"
"South Atlantic",2019,9,"1350","NA","NA"
"South Atlantic",2019,10,"1393","NA","NA"
"South Atlantic",2019,11,"1356","NA","NA"
"South Atlantic",2019,12,"1329","NA","NA"
"South Atlantic",2020,1,"1458","1408","1508"
"South Atlantic",2020,2,"1468","1418","1518"
"South Atlantic",2020,3,"1708","1648","1768"
"South Atlantic",2020,4,"1775","1712","1838"
"South Atlantic",2020,5,"2150","2073","2227"
"South Atlantic",2020,6,"1674","1614","1734"
"South Atlantic",2020,7,"2123","2045","2201"
"South Atlantic",2020,8,"1901","1831","1971"
"South Atlantic",2020,9,"1837","1767","1907"
"West North Central",2014,1,"214","NA","NA"
"West North Central",2014,2,"202","NA","NA"
"West North Central",2014,3,"218","NA","NA"
"West North Central",2014,4,"217","NA","NA"
"West North Central",2014,5,"199","NA","NA"
"West North Central",2014,6,"179","NA","NA"
"West North Central",2014,7,"199","NA","NA"
